D*S_1	Yexp	Ymodel
0.20986504351220892	1.0493252175610446	1.049140470414207
0.044736153802574535	0.3578892304205963	0.35911382765664
0.025727770146645446	0.25727770146645446	0.25748355958843516
0.017007745539970743	0.20409294647964893	0.203810465863333
0.010592474248739506	0.1588871137310926	0.1583484026828887
0.008226243081178126	0.13984613238002816	0.13927990393122225
0.005993945943534194	0.11987891887068387	0.11935875980447636
0.005006269334985605	0.11013792536968331	0.10967455131876452
0.003955952693165819	0.09889881732914546	0.0985340859023047
0.0028594308406715905	0.08578292522014772	0.08558488428896083
0.0017567449984586079	0.07026979993834431	0.0703530531619279
0.0012279031144506265	0.06139515572253132	0.061686966243085666
0.0007374270227449087	0.05161989159214361	0.052188704930689646
0.0005149548573925953	0.04634593716533357	0.04709007745994149
