X	Yexp	Ymodel
-0.5794461587129796	22.02007103355772	22.142349787577118
-0.8140839795323256	16.944511665470326	16.797801823896013
-0.9175576813468549	14.540450800582661	14.440892096400827
-0.9950122109415469	12.72787101407431	12.676643489856243
-1.0805470078889998	10.726525455580775	10.728343666524033
-1.1240442237836623	9.712416847499696	9.737570074168676
-1.175838813865532	8.510730727955371	8.557800035454907
-1.203833005626426	7.864773021800635	7.92015219143671
-1.2387345237291116	7.0637895317874815	7.125170219418205
-1.2835531806566847	6.043846961950756	6.104297025230096
-1.3434993599101919	4.699008274099389	4.738851211162178
-1.3819987864478955	3.850135415310062	3.861916576385646
-1.4289177753421312	2.835266298582967	2.7932023099599803
-1.4566291386174637	2.2475901534476628	2.1619966942291953
