X	Yexp	Ymodel
0.2	1.0493252175610446	1.049140470414207
0.125	0.3578892304205963	0.35911382765664
0.1	0.25727770146645446	0.25748355958843516
0.08333333333333333	0.20409294647964893	0.203810465863333
0.06666666666666667	0.1588871137310926	0.1583484026828887
0.058823529411764705	0.13984613238002816	0.13927990393122225
0.05	0.11987891887068387	0.11935875980447636
0.045454545454545456	0.11013792536968331	0.10967455131876452
0.04	0.09889881732914546	0.0985340859023047
0.03333333333333333	0.08578292522014772	0.08558488428896083
0.025	0.07026979993834431	0.0703530531619279
0.02	0.06139515572253132	0.061686966243085666
0.014285714285714285	0.05161989159214361	0.052188704930689646
0.011111111111111112	0.04634593716533357	0.04709007745994149
