X	Yexp	Ymodel
-1.0304460667080964	42.8	39.069043894899025
-1.3397639970903121	27.9	29.43292968441797
-1.4894824597139298	22.6	24.768782981134045
-1.617487633621896	19.0	20.781065638704263
-1.7473427024764705	15.3	16.73571892134337
-1.8644840910510458	13.6	13.086438720599318
-1.9308334297168006	11.7	11.019472203711423
-1.9308334297168006	10.6	11.019472203711423
-2.046552634055513	9.4	7.414496999151027
-1.9980787992551168	7.9	8.924591831931743
-2.1349776137577265	4.8	4.6598128383682536
-2.249882366801989	3.5	1.0802100578457896
-2.159111856470558	2.8	3.907964024182334
