X	Yexp	Ymodel
0.2	0.92	0.9200566276569555
0.125	0.34	0.3408144990666021
0.1	0.25	0.24822146230535191
0.08333333333333333	0.2	0.19778352088049603
0.06666666666666667	0.15	0.15299095433029566
0.058823529411764705	0.13	0.13456874648298042
0.05	0.12	0.11723098757954407
0.045454545454545456	0.11	0.10778619891341121
0.04	0.1	0.09712989749901044
0.03333333333333333	0.08	0.08372917077865466
0.02	0.06	0.06099238724769508
0.014285714285714285	0.05	0.051731940723682875
0.011111111111111112	0.05	0.04696360653531979
