X	Yexp	Ymodel
-16.51990015399942	62.4	62.694717888578325
-3.986187596249637	46.9	45.9202844342297
-1.5299500769997094	39.6	38.77373479014388
-0.7416250641664244	33.8	33.366158876471
-0.3599667179998063	27.5	27.83201263794884
-0.25291180999982904	24.4	25.031662635859792
-0.16997503849985468	20.9	21.645856056185895
-0.136340944090777	19.1	19.952876474875243
-0.10398003079988374	16.9	17.688547528528716
-0.06998335899990311	14.2	14.857401122816173
-0.027990015399941868	8.7	8.603649306309698
-0.017135725285672764	6.3	5.756839683040571
-0.011105564111078816	4.9	3.47625856501213
